Pclass,Age,SibSp,Parch,Fare,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Cabin_any,Sex_male,Embarked_Q,Embarked_S,PassengerId,Survived
3,22.0,1,0,7.25,0,0,1,0,0,1,0,1,1,0
1,38.0,1,0,71.2833,0,0,0,1,1,0,0,0,2,1
3,26.0,0,0,7.925,0,1,0,0,0,0,0,1,3,1
1,35.0,1,0,53.1,0,0,0,1,1,0,0,1,4,1
3,35.0,0,0,8.05,0,0,1,0,0,1,0,1,5,0
3,32.725,0,0,8.4583,0,0,1,0,0,1,1,0,6,0
1,54.0,0,0,51.8625,0,0,1,0,1,1,0,1,7,0
3,2.0,3,1,21.075,1,0,0,0,0,1,0,1,8,0
3,27.0,0,2,11.1333,0,0,0,1,0,0,0,1,9,1
2,14.0,1,0,30.0708,0,0,0,1,0,0,0,0,10,1
3,4.0,1,1,16.7,0,1,0,0,1,0,0,1,11,1
1,58.0,0,0,26.55,0,1,0,0,1,0,0,1,12,1
3,20.0,0,0,8.05,0,0,1,0,0,1,0,1,13,0
3,39.0,1,5,31.275,0,0,1,0,0,1,0,1,14,0
3,14.0,0,0,7.8542,0,1,0,0,0,0,0,1,15,0
2,55.0,0,0,16.0,0,0,0,1,0,0,0,1,16,1
3,2.0,4,1,29.125,1,0,0,0,0,1,1,0,17,0
2,33.7,0,0,13.0,0,0,1,0,0,1,0,1,18,1
3,31.0,1,0,18.0,0,0,0,1,0,0,0,1,19,0
3,27.975,0,0,7.225,0,0,0,1,0,0,0,0,20,1
2,35.0,0,0,26.0,0,0,1,0,0,1,0,1,21,0
2,34.0,0,0,13.0,0,0,1,0,1,1,0,1,22,1
3,15.0,0,0,8.0292,0,1,0,0,0,0,1,0,23,1
1,28.0,0,0,35.5,0,0,1,0,1,1,0,1,24,1
3,8.0,3,1,21.075,0,1,0,0,0,0,0,1,25,0
3,38.0,1,5,31.3875,0,0,0,1,0,0,0,1,26,1
3,27.05,0,0,7.225,0,0,1,0,0,1,0,0,27,0
1,19.0,3,2,263.0,0,0,1,0,1,1,0,1,28,0
3,22.65,0,0,7.8792,0,1,0,0,0,0,1,0,29,1
3,27.4,0,0,7.8958,0,0,1,0,0,1,0,1,30,0
1,40.0,0,0,27.7208,0,0,0,0,0,1,0,0,31,0
1,33.846000000000004,1,0,146.5208,0,0,0,1,1,0,0,0,32,1
3,22.65,0,0,7.75,0,1,0,0,0,0,1,0,33,1
2,66.0,0,0,10.5,0,0,1,0,0,1,0,1,34,0
1,28.0,1,0,82.1708,0,0,1,0,0,1,0,0,35,0
1,42.0,1,0,52.0,0,0,1,0,0,1,0,1,36,0
3,27.05,0,0,7.2292,0,0,1,0,0,1,0,0,37,1
3,21.0,0,0,8.05,0,0,1,0,0,1,0,1,38,0
3,18.0,2,0,18.0,0,1,0,0,0,0,0,1,39,0
3,14.0,1,0,11.2417,0,1,0,0,0,0,0,0,40,1
3,40.0,1,0,9.475,0,0,0,1,0,0,0,1,41,0
2,27.0,1,0,21.0,0,0,0,1,0,0,0,1,42,0
3,27.05,0,0,7.8958,0,0,1,0,0,1,0,0,43,0
2,3.0,1,2,41.5792,0,1,0,0,0,0,0,0,44,1
3,19.0,0,0,7.8792,0,1,0,0,0,0,1,0,45,1
3,29.1,0,0,8.05,0,0,1,0,0,1,0,1,46,0
3,28.45,1,0,15.5,0,0,1,0,0,1,1,0,47,0
3,22.65,0,0,7.75,0,1,0,0,0,0,1,0,48,1
3,23.6,2,0,21.6792,0,0,1,0,0,1,0,0,49,0
3,18.0,1,0,17.8,0,0,0,1,0,0,0,1,50,0
3,7.0,4,1,39.6875,1,0,0,0,0,1,0,1,51,0
3,21.0,0,0,7.8,0,0,1,0,0,1,0,1,52,0
1,49.0,1,0,76.7292,0,0,0,1,1,0,0,0,53,1
2,29.0,1,0,26.0,0,0,0,1,0,0,0,1,54,1
1,65.0,0,1,61.9792,0,0,1,0,1,1,0,0,55,0
1,34.75,0,0,35.5,0,0,1,0,1,1,0,1,56,1
2,21.0,0,0,10.5,0,1,0,0,0,0,0,1,57,1
3,28.5,0,0,7.2292,0,0,1,0,0,1,0,0,58,0
2,5.0,1,2,27.75,0,1,0,0,0,0,0,1,59,1
3,11.0,5,2,46.9,1,0,0,0,0,1,0,1,60,0
3,22.0,0,0,7.2292,0,0,1,0,0,1,0,0,61,0
1,38.0,0,0,80.0,0,1,0,0,1,0,0,1,62,1
1,45.0,1,0,83.475,0,0,1,0,1,1,0,1,63,0
3,4.0,3,2,27.9,1,0,0,0,0,1,0,1,64,0
1,43.1,0,0,27.7208,0,0,1,0,0,1,0,0,65,0
3,17.0125,1,1,15.2458,1,0,0,0,0,1,0,0,66,1
2,29.0,0,0,10.5,0,0,0,1,1,0,0,1,67,1
3,19.0,0,0,8.1583,0,0,1,0,0,1,0,1,68,0
3,17.0,4,2,7.925,0,1,0,0,0,0,0,1,69,1
3,26.0,2,0,8.6625,0,0,1,0,0,1,0,1,70,0
2,32.0,0,0,10.5,0,0,1,0,0,1,0,1,71,0
3,16.0,5,2,46.9,0,1,0,0,0,0,0,1,72,0
2,21.0,0,0,73.5,0,0,1,0,0,1,0,1,73,0
3,26.0,1,0,14.4542,0,0,1,0,0,1,0,0,74,0
3,32.0,0,0,56.4958,0,0,1,0,0,1,0,1,75,1
3,25.0,0,0,7.65,0,0,1,0,1,1,0,1,76,0
3,27.4,0,0,7.8958,0,0,1,0,0,1,0,1,77,0
3,29.1,0,0,8.05,0,0,1,0,0,1,0,1,78,0
2,0.83,0,2,29.0,1,0,0,0,0,1,0,1,79,1
3,30.0,0,0,12.475,0,1,0,0,0,0,0,1,80,1
3,22.0,0,0,9.0,0,0,1,0,0,1,0,1,81,0
3,29.0,0,0,9.5,0,0,1,0,0,1,0,1,82,1
3,22.65,0,0,7.7875,0,1,0,0,0,0,1,0,83,1
1,28.0,0,0,47.1,0,0,1,0,0,1,0,1,84,0
2,17.0,0,0,10.5,0,1,0,0,0,0,0,1,85,1
3,33.0,3,0,15.85,0,0,0,1,0,0,0,1,86,1
3,16.0,1,3,34.375,0,0,1,0,0,1,0,1,87,0
3,29.1,0,0,8.05,0,0,1,0,0,1,0,1,88,0
1,23.0,3,2,263.0,0,1,0,0,1,0,0,1,89,1
3,24.0,0,0,8.05,0,0,1,0,0,1,0,1,90,0
3,29.0,0,0,8.05,0,0,1,0,0,1,0,1,91,0
3,20.0,0,0,7.8542,0,0,1,0,0,1,0,1,92,0
1,46.0,1,0,61.175,0,0,1,0,1,1,0,1,93,0
3,26.0,1,2,20.575,0,0,1,0,0,1,0,1,94,0
3,59.0,0,0,7.25,0,0,1,0,0,1,0,1,95,0
3,29.1,0,0,8.05,0,0,1,0,0,1,0,1,96,0
1,71.0,0,0,34.6542,0,0,1,0,1,1,0,0,97,0
1,23.0,0,1,63.3583,0,0,1,0,1,1,0,0,98,1
2,34.0,0,1,23.0,0,0,0,1,0,0,0,1,99,1
2,34.0,1,0,26.0,0,0,1,0,0,1,0,1,100,0
3,28.0,0,0,7.8958,0,1,0,0,0,0,0,1,101,0
3,27.4,0,0,7.8958,0,0,1,0,0,1,0,1,102,0
1,21.0,0,1,77.2875,0,0,1,0,1,1,0,1,103,0
3,33.0,0,0,8.6542,0,0,1,0,0,1,0,1,104,0
3,37.0,2,0,7.925,0,0,1,0,0,1,0,1,105,0
3,28.0,0,0,7.8958,0,0,1,0,0,1,0,1,106,0
3,21.0,0,0,7.65,0,1,0,0,0,0,0,1,107,1
3,26.1,0,0,7.775,0,0,1,0,0,1,0,1,108,1
3,38.0,0,0,7.8958,0,0,1,0,0,1,0,1,109,0
3,21.55,1,0,24.15,0,1,0,0,0,0,1,0,110,1
1,47.0,0,0,52.0,0,0,1,0,1,1,0,1,111,0
3,14.5,1,0,14.4542,0,1,0,0,0,0,0,0,112,0
3,22.0,0,0,8.05,0,0,1,0,0,1,0,1,113,0
3,20.0,1,0,9.825,0,1,0,0,0,0,0,1,114,0
3,17.0,0,0,14.4583,0,1,0,0,0,0,0,0,115,0
3,21.0,0,0,7.925,0,0,1,0,0,1,0,1,116,0
3,70.5,0,0,7.75,0,0,1,0,0,1,1,0,117,0
2,29.0,1,0,21.0,0,0,1,0,0,1,0,1,118,0
1,24.0,0,1,247.5208,0,0,1,0,1,1,0,0,119,0
3,2.0,4,2,31.275,0,1,0,0,0,0,0,1,120,0
2,21.0,2,0,73.5,0,0,1,0,0,1,0,1,121,0
3,29.1,0,0,8.05,0,0,1,0,0,1,0,1,122,0
2,32.5,1,0,30.0708,0,0,1,0,0,1,0,0,123,0
2,32.5,0,0,13.0,0,1,0,0,1,0,0,1,124,1
1,54.0,0,1,77.2875,0,0,1,0,1,1,0,1,125,0
3,12.0,1,0,11.2417,1,0,0,0,0,1,0,0,126,1
3,31.55,0,0,7.75,0,0,1,0,0,1,1,0,127,0
3,24.0,0,0,7.1417,0,0,1,0,0,1,0,1,128,1
3,19.6585,1,1,22.3583,0,1,0,0,1,0,0,0,129,1
3,45.0,0,0,6.975,0,0,1,0,0,1,0,1,130,0
3,33.0,0,0,7.8958,0,0,1,0,0,1,0,0,131,0
3,20.0,0,0,7.05,0,0,1,0,0,1,0,1,132,0
3,47.0,1,0,14.5,0,0,0,1,0,0,0,1,133,0
2,29.0,1,0,26.0,0,0,0,1,0,0,0,1,134,1
2,25.0,0,0,13.0,0,0,1,0,0,1,0,1,135,0
2,23.0,0,0,15.0458,0,0,1,0,0,1,0,0,136,0
1,19.0,0,2,26.2833,0,1,0,0,1,0,0,1,137,1
1,37.0,1,0,53.1,0,0,1,0,1,1,0,1,138,0
